director,season,ep_num,season_ep_num
Timothy Van Patten,1,8,1.8
Timothy Van Patten,2,4,2.4
Timothy Van Patten,2,5,2.5
Timothy Van Patten,2,11,2.11
Timothy Van Patten,3,2,3.2
Timothy Van Patten,3,7,3.7
Timothy Van Patten,3,12,3.12
Timothy Van Patten,4,3,4.3
Timothy Van Patten,4,9,4.9
Timothy Van Patten,4,11,4.11
Timothy Van Patten,5,1,5.1
Timothy Van Patten,5,9,5.9
Timothy Van Patten,5,12,5.12
Timothy Van Patten,6,1,6.1
Timothy Van Patten,6,6,6.6
Timothy Van Patten,6,8,6.8
Timothy Van Patten,6,11,6.11
Timothy Van Patten,6,13,6.13
Timothy Van Patten,6,16,6.16
Timothy Van Patten,6,19,6.19
John Patterson,1,4,1.4
John Patterson,1,13,1.13
John Patterson,2,6,2.6
John Patterson,2,10,2.10
John Patterson,2,13,2.13
John Patterson,3,4,3.4
John Patterson,3,13,3.13
John Patterson,4,2,4.2
John Patterson,4,7,4.7
John Patterson,4,13,4.13
John Patterson,5,3,5.3
John Patterson,5,8,5.8
John Patterson,5,13,5.13
Allen Coulter,1,5,1.5
Allen Coulter,1,12,1.12
Allen Coulter,2,1,2.1
Allen Coulter,2,7,2.7
Allen Coulter,2,8,2.8
Allen Coulter,2,12,2.12
Allen Coulter,3,1,3.1
Allen Coulter,3,6,3.6
Allen Coulter,3,8,3.8
Allen Coulter,4,1,4.1
Allen Coulter,5,5,5.5
Allen Coulter,5,11,5.11
Alan Taylor,1,6,1.6
Alan Taylor,4,10,4.10
Alan Taylor,5,2,5.2
Alan Taylor,6,4,6.4
Alan Taylor,6,9,6.9
Alan Taylor,6,12,6.12
Alan Taylor,6,14,6.14
Alan Taylor,6,18,6.18
Alan Taylor,6,20,6.20
Henry Bronchtein,1,11,1.11
Henry Bronchtein,2,9,2.9
Henry Bronchtein,3,3,3.3
Henry Bronchtein,4,5,4.5
Jack Bender,3,5,3.5
Jack Bender,3,10,3.10
Jack Bender,4,4,4.4
Jack Bender,6,3,6.3
Steve Buscemi,3,11,3.11
Steve Buscemi,4,6,4.6
Steve Buscemi,5,7,5.7
Steve Buscemi,6,5,6.5
Daniel Attias,1,2,1.2
Daniel Attias,3,9,3.9
Daniel Attias,4,8,4.8
David Chase,1,1,1.1
David Chase,6,21,6.21
Nick Gomez,1,3,1.3
Matthew Penn,1,10,1.10
Lorraine Senna,1,7,1.7
Andy Wolk,1,9,1.9
Martin Bruestle,2,2,2.2
Lee Tamahori,2,3,2.3
James Hayman,4,12,4.12
Peter Bogdanovich,5,6,5.6
Mike Figgis,5,10,5.10
Rodrigo García,5,4,5.4
Danny Leiner,6,7,6.7
David Nutter,6,2,6.2
Steve Shill,6,10,6.10
Phil Abraham,6,15,6.15
Terence Winter,6,17,6.17
