director,season_ep
Timothy Van Patten,S1.E8
Timothy Van Patten,S2.E4
Timothy Van Patten,S2.E5
Timothy Van Patten,S2.E11
Timothy Van Patten,S3.E2
Timothy Van Patten,S3.E7
Timothy Van Patten,S3.E12
Timothy Van Patten,S4.E3
Timothy Van Patten,S4.E9
Timothy Van Patten,S4.E11
Timothy Van Patten,S5.E1
Timothy Van Patten,S5.E9
Timothy Van Patten,S5.E12
Timothy Van Patten,S6.E1
Timothy Van Patten,S6.E6
Timothy Van Patten,S6.E8
Timothy Van Patten,S6.E11
Timothy Van Patten,S6.E13
Timothy Van Patten,S6.E16
Timothy Van Patten,S6.E19
John Patterson,S1.E4
John Patterson,S1.E13
John Patterson,S2.E6
John Patterson,S2.E10
John Patterson,S2.E13
John Patterson,S3.E4
John Patterson,S3.E13
John Patterson,S4.E2
John Patterson,S4.E7
John Patterson,S4.E13
John Patterson,S5.E3
John Patterson,S5.E8
John Patterson,S5.E13
Allen Coulter,S1.E5
Allen Coulter,S1.E12
Allen Coulter,S2.E1
Allen Coulter,S2.E7
Allen Coulter,S2.E8
Allen Coulter,S2.E12
Allen Coulter,S3.E1
Allen Coulter,S3.E6
Allen Coulter,S3.E8
Allen Coulter,S4.E1
Allen Coulter,S5.E5
Allen Coulter,S5.E11
Alan Taylor,S1.E6
Alan Taylor,S4.E10
Alan Taylor,S5.E2
Alan Taylor,S6.E4
Alan Taylor,S6.E9
Alan Taylor,S6.E12
Alan Taylor,S6.E14
Alan Taylor,S6.E18
Alan Taylor,S6.E20
Henry Bronchtein,S1.E11
Henry Bronchtein,S2.E9
Henry Bronchtein,S3.E3
Henry Bronchtein,S4.E5
Jack Bender,S3.E5
Jack Bender,S3.E10
Jack Bender,S4.E4
Jack Bender,S6.E3
Steve Buscemi,S3.E11
Steve Buscemi,S4.E6
Steve Buscemi,S5.E7
Steve Buscemi,S6.E5
Daniel Attias,S1.E2
Daniel Attias,S3.E9
Daniel Attias,S4.E8
David Chase,S1.E1
David Chase,S6.E21
Nick Gomez,S1.E3
Matthew Penn,S1.E10
Lorraine Senna,S1.E7
Andy Wolk,S1.E9
Martin Bruestle,S2.E2
Lee Tamahori,S2.E3
James Hayman,S4.E12
Peter Bogdanovich,S5.E6
Mike Figgis,S5.E10
Rodrigo García,S5.E4
Danny Leiner,S6.E7
David Nutter,S6.E2
Steve Shill,S6.E10
Phil Abraham,S6.E15
Terence Winter,S6.E17
